r1,r2,r3,r4,r5,r6,r7,r8,label
1159218,836944,89961,68082,107749,29239,35152,51456,0
671643,982169,92428,33213,50736,19137,12987,21839,0
627054,87377,38235,43060,155552,128853,22369,12261,0
1376935,176498,49391,5152,108175,40207,17865,19059,0
1838810,214353,53120,47547,40132,34018,30816,36532,0
1045486,924744,58533,39314,21801,58239,35963,22714,0
2376894,650885,30622,62886,20228,12711,89622,14696,0
56702,84487,197724,110593,99084,39243,7388,5761,0
1609698,206118,39784,142262,140472,33109,19146,15457,0
967780,569885,96901,32837,74565,43494,39806,21299,0
871906,1826511,41715,71964,14253,38226,26278,21939,0
626850,883893,1025196,237776,1249274,540774,124563,33425,0
1935496,486419,143909,134466,61614,64665,24881,14306,0
1235048,278495,109587,61152,15029,55578,42164,39763,0
2055448,530965,51751,72817,89433,64207,75640,17822,0
3079289,441696,70470,68531,176065,37968,30006,5877,0
1489750,551904,366376,116677,100123,85885,67400,34110,0
1073207,356443,171414,162627,159997,252026,59316,14880,0
1172714,153660,76670,60238,46783,95578,10979,10760,0
1826605,301112,26915,125008,19738,49209,70415,26809,0
1635030,899764,219218,31718,33437,55947,23251,7617,0
2108269,807604,154256,111777,60448,55459,36519,14669,0
1011204,839923,374126,141912,133062,119040,78908,104850,0
682154,1283743,42658,84396,71141,160975,100027,19173,0
1078993,812002,90891,70347,24109,20223,19583,10630,0
1040176,393951,93112,238800,28621,33628,18549,11248,0
510098,144147,84586,81997,263760,260347,115720,114899,0
268750,430311,364024,205799,277920,270134,223631,47535,0
1769113,106451,94444,26508,22077,57739,20287,22615,0
742620,177344,39942,95437,177698,132408,163947,85210,0
1156551,144801,28470,162124,324309,245650,228725,129666,0
941095,750177,851517,228934,798502,357425,476790,273591,0
2626035,325883,67184,36105,16868,18025,15500,33634,0
981270,362722,65383,170793,266342,107665,23822,18800,0
506603,775693,95705,17830,25200,52854,45968,50024,0
340311,59433,225291,34738,45440,114821,123244,89861,0
953149,374149,89188,11462,117969,82213,60046,135864,0
429760,571086,147491,54115,56184,65677,79809,29503,0
1315032,249128,153655,152167,89390,350233,119419,90729,0
1315032,249128,153655,152167,89390,350233,119419,90729,0
1954476,681535,86433,70422,96968,47274,39244,45875,0
281620,474653,247769,260113,472794,240479,192798,154397,0
1824768,352341,35396,82503,78212,54067,26247,18141,0
802564,483781,90436,362859,202736,280327,91927,172004,0
2308659,435001,108484,108513,24140,24299,11444,18022,0
2373947,502926,22642,19908,26126,45611,22710,17270,0
1197912,90067,32643,182165,65191,199986,78068,92983,0
1197912,90067,32643,182165,65191,199986,78068,92983,0
1138303,83133,40335,40585,27949,25252,44017,45890,0
1552767,120854,131912,65885,75693,23274,17687,13316,0
1182348,468475,126413,274343,260152,249348,101286,255801,0
992676,497582,728404,628220,173965,232024,329719,388886,0
2046427,1662553,243213,574769,488608,215270,331130,90844,0
1628590,1604006,856945,76748,438664,320821,427020,264613,0
782198,246192,73203,55924,157154,83912,21170,23945,0
1315043,794015,83795,82221,66228,41441,14484,12515,0
412280,351724,212740,314147,172377,74938,35348,34629,0
975044,468591,147051,113805,75189,132758,26526,20345,0
1912432,1007019,210206,362555,273848,290861,148609,135531,0
1030548,565939,61989,39975,98291,22997,30415,13784,0
432636,159471,19797,65296,134417,174926,129808,39811,0
868025,665056,31049,81298,30839,37260,33251,9173,0
333429,767331,272120,50432,31977,44892,16814,21478,0
1308742,690313,254845,130489,69352,89636,113480,104637,0
1621205,975742,174062,37523,65738,32665,13643,19182,0
1282399,237852,143103,25345,61063,83038,62812,28164,0
1282399,237852,143103,25345,61063,83038,62812,28164,0
1265487,233190,349713,355989,378264,262611,91549,34311,0
